sample_id,site_id,collection_date,year
166-230913,0,9/13/23,2023
166-230915,0,9/15/23,2023
166-230918,0,9/18/23,2023
166-230920,0,9/20/23,2023
166-230922,0,9/22/23,2023
166-230925,0,9/25/23,2023
166-230927,0,9/27/23,2023
166-230929,0,9/29/23,2023
166-231002,0,10/2/23,2023
166-231004,0,10/4/23,2023
166-231006,0,10/6/23,2023
166-231011,0,10/11/23,2023
166-231013,0,10/13/23,2023
166-231016,0,10/16/23,2023
166-231018,0,10/18/23,2023
166-231020,0,10/20/23,2023
166-231023,0,10/23/23,2023
166-231025,0,10/25/23,2023
166-231026,0,10/26/23,2023
166-231030,0,10/30/23,2023
166-231101,0,11/1/23,2023
166-231103,0,11/3/23,2023
166-231106,0,11/6/23,2023
166-231108,0,11/8/23,2023
166-231113,0,11/13/23,2023
166-231115,0,11/15/23,2023
166-231117,0,11/17/23,2023
166-231120,0,11/20/23,2023
166-231122,0,11/22/23,2023
166-231127,0,11/27/23,2023
166-231129,0,11/29/23,2023
166-231201,0,12/1/23,2023
166-231204,0,12/4/23,2023
166-231206,0,12/6/23,2023
166-231208,0,12/8/23,2023
166-231211,0,12/11/23,2023
166-231213,0,12/13/23,2023
166-231215,0,12/15/23,2023
166-231218,0,12/18/23,2023
166-231220,0,12/20/23,2023
166-231222,0,12/22/23,2023
166-231226,0,12/26/23,2023
166-231227,0,12/27/23,2023
166-231229,0,12/29/23,2023
166-240102,0,1/2/24,2024
166-240103,0,1/3/24,2024
166-240105,0,1/5/24,2024
166-240108,0,1/8/24,2024
166-240110,0,1/10/24,2024
166-240112,0,1/12/24,2024
166-240116,0,1/16/24,2024
166-240117,0,1/17/24,2024
166-240119,0,1/19/24,2024
166-240122,0,1/22/24,2024
166-240124,0,1/24/24,2024
166-240126,0,1/26/24,2024
166-240129,0,1/29/24,2024
166-240131,0,1/31/24,2024
166-240202,0,2/2/24,2024
166-240205,0,2/5/24,2024
166-240207,0,2/7/24,2024
166-240209,0,2/9/24,2024
166-240212,0,2/12/24,2024
166-240214,0,2/14/24,2024
166-240216,0,2/16/24,2024
166-240220,0,2/20/24,2024
166-240221,0,2/21/24,2024
106-221024,1,10/24/22,2022
106-221026,1,10/26/22,2022
106-221028,1,10/28/22,2022
106-221031,1,10/31/22,2022
106-221102,1,11/2/22,2022
106-221104,1,11/4/22,2022
106-221107,1,11/7/22,2022
106-221109,1,11/9/22,2022
106-221111,1,11/11/22,2022
106-221114,1,11/14/22,2022
106-221116,1,11/16/22,2022
106-221118,1,11/18/22,2022
106-221121,1,11/21/22,2022
106-221123,1,11/23/22,2022
106-221125,1,11/25/22,2022
106-221128,1,11/28/22,2022
106-221130,1,11/30/22,2022
106-221219,1,12/19/22,2022
106-221221,1,12/21/22,2022
106-221228,1,12/28/22,2022
106-221230,1,12/30/22,2022
106-230104,1,1/4/23,2023
106-230106,1,1/6/23,2023
106-230109,1,1/9/23,2023
106-230111,1,1/11/23,2023
106-230113,1,1/13/23,2023
106-230116,1,1/16/23,2023
106-230118,1,1/18/23,2023
106-230123,1,1/23/23,2023
106-230125,1,1/25/23,2023
106-230127,1,1/27/23,2023
106-230130,1,1/30/23,2023
106-230201,1,2/1/23,2023
106-230203,1,2/3/23,2023
106-230206,1,2/6/23,2023
106-230208,1,2/8/23,2023
106-230210,1,2/10/23,2023
106-230213,1,2/13/23,2023
106-230215,1,2/15/23,2023
106-230217,1,2/17/23,2023
106-230220,1,2/20/23,2023
106-230222,1,2/22/23,2023
106-230224,1,2/24/23,2023
106-230226,1,2/26/23,2023
106-230301,1,3/1/23,2023
106-230303,1,3/3/23,2023
106-230306,1,3/6/23,2023
106-230308,1,3/8/23,2023
106-230310,1,3/10/23,2023
106-230313,1,3/13/23,2023
106-230315,1,3/15/23,2023
106-230317,1,3/17/23,2023
106-230320,1,3/20/23,2023
106-230322,1,3/22/23,2023
106-230324,1,3/24/23,2023
106-230327,1,3/27/23,2023
106-230329,1,3/29/23,2023
106-230331,1,3/31/23,2023
106-230403,1,4/3/23,2023
106-230405,1,4/5/23,2023
106-230407,1,4/7/23,2023
106-230410,1,4/10/23,2023
106-230412,1,4/12/23,2023
106-230414,1,4/14/23,2023
106-230417,1,4/17/23,2023
106-230419,1,4/19/23,2023
106-230421,1,4/21/23,2023
106-230424,1,4/24/23,2023
106-230426,1,4/26/23,2023
106-230428,1,4/28/23,2023
106-230501,1,5/1/23,2023
106-230503,1,5/3/23,2023
106-230505,1,5/5/23,2023
106-230508,1,5/8/23,2023
106-230510,1,5/10/23,2023
106-230512,1,5/12/23,2023
106-230515,1,5/15/23,2023
106-230517,1,5/17/23,2023
106-230519,1,5/19/23,2023
106-230522,1,5/22/23,2023
106-230524,1,5/24/23,2023
106-230526,1,5/26/23,2023
106-230530,1,5/30/23,2023
106-230531,1,5/31/23,2023
106-230602,1,6/2/23,2023
106-230605,1,6/5/23,2023
106-230607,1,6/7/23,2023
106-230609,1,6/9/23,2023
106-230612,1,6/12/23,2023
106-230614,1,6/14/23,2023
106-230616,1,6/16/23,2023
106-230619,1,6/19/23,2023
106-230621,1,6/21/23,2023
106-230623,1,6/23/23,2023
106-230626,1,6/26/23,2023
106-230628,1,6/28/23,2023
106-230630,1,6/30/23,2023
106-230703,1,7/3/23,2023
106-230705,1,7/5/23,2023
106-230707,1,7/7/23,2023
106-230710,1,7/10/23,2023
106-230712,1,7/12/23,2023
106-230714,1,7/14/23,2023
106-230717,1,7/17/23,2023
106-230719,1,7/19/23,2023
106-230721,1,7/21/23,2023
106-230724,1,7/24/23,2023
106-230726,1,7/26/23,2023
106-230728,1,7/28/23,2023
106-230731,1,7/31/23,2023
106-230802,1,8/2/23,2023
106-230804,1,8/4/23,2023
106-230807,1,8/7/23,2023
106-230809,1,8/9/23,2023
106-230811,1,8/11/23,2023
106-230814,1,8/14/23,2023
106-230816,1,8/16/23,2023
106-230818,1,8/18/23,2023
106-230821,1,8/21/23,2023
106-230823,1,8/23/23,2023
106-230825,1,8/25/23,2023
106-230828,1,8/28/23,2023
106-230830,1,8/30/23,2023
106-230901,1,9/1/23,2023
106-230904,1,9/4/23,2023
106-230906,1,9/6/23,2023
106-230908,1,9/8/23,2023
106-230911,1,9/11/23,2023
106-230913,1,9/13/23,2023
106-230915,1,9/15/23,2023
106-230918,1,9/18/23,2023
106-230920,1,9/20/23,2023
106-230922,1,9/22/23,2023
106-230925,1,9/25/23,2023
106-230927,1,9/27/23,2023
106-230929,1,9/29/23,2023
106-231002,1,10/2/23,2023
106-231004,1,10/4/23,2023
106-231006,1,10/6/23,2023
106-231009,1,10/9/23,2023
106-231011,1,10/11/23,2023
106-231013,1,10/13/23,2023
106-231016,1,10/16/23,2023
106-231018,1,10/18/23,2023
106-231020,1,10/20/23,2023
106-231023,1,10/23/23,2023
106-231025,1,10/25/23,2023
106-231027,1,10/27/23,2023
106-231030,1,10/30/23,2023
106-231101,1,11/1/23,2023
106-231103,1,11/3/23,2023
106-231106,1,11/6/23,2023
106-231108,1,11/8/23,2023
106-231110,1,11/10/23,2023
106-231113,1,11/13/23,2023
106-231115,1,11/15/23,2023
106-231117,1,11/17/23,2023
106-231120,1,11/20/23,2023
106-231122,1,11/22/23,2023
106-231124,1,11/24/23,2023
106-231127,1,11/27/23,2023
106-231129,1,11/29/23,2023
106-231201,1,12/1/23,2023
106-231204,1,12/4/23,2023
106-231206,1,12/6/23,2023
106-231208,1,12/8/23,2023
106-231211,1,12/11/23,2023
106-231213,1,12/13/23,2023
106-231215,1,12/15/23,2023
106-231218,1,12/18/23,2023
106-231220,1,12/20/23,2023
106-231227,1,12/27/23,2023
106-231229,1,12/29/23,2023
106-240103,1,1/3/24,2024
106-240105,1,1/5/24,2024
106-240108,1,1/8/24,2024
106-240110,1,1/10/24,2024
106-240112,1,1/12/24,2024
106-240117,1,1/17/24,2024
106-240119,1,1/19/24,2024
106-240122,1,1/22/24,2024
106-240124,1,1/24/24,2024
106-240126,1,1/26/24,2024
106-240129,1,1/29/24,2024
106-240131,1,1/31/24,2024
106-240202,1,2/2/24,2024
106-240205,1,2/5/24,2024
106-240207,1,2/7/24,2024
106-240209,1,2/9/24,2024
106-240212,1,2/12/24,2024
106-240214,1,2/14/24,2024
106-240216,1,2/16/24,2024
106-240219,1,2/19/24,2024
106-240221,1,2/21/24,2024
227-230524,2,5/24/23,2023
227-230525,2,5/25/23,2023
227-230530,2,5/30/23,2023
227-230531,2,5/31/23,2023
227-230601,2,6/1/23,2023
227-230606,2,6/6/23,2023
227-230608,2,6/8/23,2023
227-230609,2,6/9/23,2023
227-230613,2,6/13/23,2023
227-230614,2,6/14/23,2023
227-230616,2,6/16/23,2023
227-230620,2,6/20/23,2023
227-230622,2,6/22/23,2023
227-230623,2,6/23/23,2023
227-230627,2,6/27/23,2023
227-230628,2,6/28/23,2023
227-230629,2,6/29/23,2023
227-230704,2,7/4/23,2023
227-230705,2,7/5/23,2023
227-230706,2,7/6/23,2023
227-230711,2,7/11/23,2023
227-230712,2,7/12/23,2023
227-230713,2,7/13/23,2023
227-230718,2,7/18/23,2023
227-230727,2,7/27/23,2023
227-230728,2,7/28/23,2023
227-230801,2,8/1/23,2023
227-230802,2,8/2/23,2023
227-230803,2,8/3/23,2023
227-230808,2,8/8/23,2023
227-230809,2,8/9/23,2023
227-230810,2,8/10/23,2023
227-230815,2,8/15/23,2023
227-230816,2,8/16/23,2023
227-230817,2,8/17/23,2023
227-230822,2,8/22/23,2023
227-230823,2,8/23/23,2023
227-230824,2,8/24/23,2023
227-230829,2,8/29/23,2023
227-230830,2,8/30/23,2023
227-230831,2,8/31/23,2023
227-230905,2,9/5/23,2023
227-230906,2,9/6/23,2023
227-230907,2,9/7/23,2023
227-230912,2,9/12/23,2023
227-230913,2,9/13/23,2023
227-230914,2,9/14/23,2023
227-230919,2,9/19/23,2023
227-230920,2,9/20/23,2023
227-230922,2,9/22/23,2023
227-230926,2,9/26/23,2023
227-230927,2,9/27/23,2023
227-230928,2,9/28/23,2023
227-231003,2,10/3/23,2023
227-231005,2,10/5/23,2023
227-231006,2,10/6/23,2023
227-231010,2,10/10/23,2023
227-231011,2,10/11/23,2023
227-231012,2,10/12/23,2023
227-231017,2,10/17/23,2023
227-231018,2,10/18/23,2023
227-231019,2,10/19/23,2023
227-231024,2,10/24/23,2023
227-231025,2,10/25/23,2023
227-231026,2,10/26/23,2023
227-231031,2,10/31/23,2023
227-231101,2,11/1/23,2023
227-231102,2,11/2/23,2023
227-231107,2,11/7/23,2023
227-231108,2,11/8/23,2023
227-231110,2,11/10/23,2023
227-231114,2,11/14/23,2023
227-231115,2,11/15/23,2023
227-231117,2,11/17/23,2023
227-231121,2,11/21/23,2023
227-231122,2,11/22/23,2023
227-231128,2,11/28/23,2023
227-231129,2,11/29/23,2023
227-231130,2,11/30/23,2023
227-231205,2,12/5/23,2023
227-231206,2,12/6/23,2023
227-231207,2,12/7/23,2023
227-231212,2,12/12/23,2023
227-231213,2,12/13/23,2023
227-231214,2,12/14/23,2023
227-231219,2,12/19/23,2023
227-231220,2,12/20/23,2023
227-231226,2,12/26/23,2023
227-231227,2,12/27/23,2023
227-231228,2,12/28/23,2023
227-240102,2,1/2/24,2024
227-240103,2,1/3/24,2024
227-240104,2,1/4/24,2024
227-240109,2,1/9/24,2024
227-240110,2,1/10/24,2024
227-240112,2,1/12/24,2024
227-240116,2,1/16/24,2024
227-240117,2,1/17/24,2024
227-240119,2,1/19/24,2024
227-240123,2,1/23/24,2024
227-240124,2,1/24/24,2024
227-240125,2,1/25/24,2024
227-240130,2,1/30/24,2024
227-240131,2,1/31/24,2024
227-240201,2,2/1/24,2024
227-240206,2,2/6/24,2024
227-240207,2,2/7/24,2024
227-240208,2,2/8/24,2024
227-240213,2,2/13/24,2024
227-240214,2,2/14/24,2024
227-240216,2,2/16/24,2024
227-240220,2,2/20/24,2024
227-240221,2,2/21/24,2024
51-220627,3,6/27/22,2022
51-220629,3,6/29/22,2022
51-220701,3,7/1/22,2022
51-220704,3,7/4/22,2022
51-220706,3,7/6/22,2022
51-220708,3,7/8/22,2022
51-220711,3,7/11/22,2022
51-220713,3,7/13/22,2022
51-220715,3,7/15/22,2022
51-220718,3,7/18/22,2022
51-220720,3,7/20/22,2022
51-220722,3,7/22/22,2022
51-220727,3,7/27/22,2022
51-220729,3,7/29/22,2022
51-220731,3,7/31/22,2022
51-220803,3,8/3/22,2022
51-220804,3,8/4/22,2022
51-220808,3,8/8/22,2022
51-220810,3,8/10/22,2022
51-220812,3,8/12/22,2022
51-220815,3,8/15/22,2022
51-220817,3,8/17/22,2022
51-220819,3,8/19/22,2022
51-220822,3,8/22/22,2022
51-220824,3,8/24/22,2022
51-220826,3,8/26/22,2022
51-220829,3,8/29/22,2022
51-220831,3,8/31/22,2022
51-220902,3,9/2/22,2022
51-220905,3,9/5/22,2022
51-220908,3,9/8/22,2022
51-220909,3,9/9/22,2022
51-220912,3,9/12/22,2022
51-220914,3,9/14/22,2022
51-220916,3,9/16/22,2022
51-220918,3,9/18/22,2022
51-220921,3,9/21/22,2022
51-220922,3,9/22/22,2022
51-220926,3,9/26/22,2022
51-220928,3,9/28/22,2022
51-220930,3,9/30/22,2022
51-221003,3,10/3/22,2022
51-221005,3,10/5/22,2022
51-221007,3,10/7/22,2022
51-221010,3,10/10/22,2022
51-221012,3,10/12/22,2022
51-221014,3,10/14/22,2022
51-221016,3,10/16/22,2022
51-221020,3,10/20/22,2022
51-221021,3,10/21/22,2022
51-221024,3,10/24/22,2022
51-221026,3,10/26/22,2022
51-221028,3,10/28/22,2022
51-221031,3,10/31/22,2022
51-221101,3,11/1/22,2022
51-221103,3,11/3/22,2022
51-221107,3,11/7/22,2022
51-221109,3,11/9/22,2022
51-221111,3,11/11/22,2022
51-221113,3,11/13/22,2022
51-221116,3,11/16/22,2022
51-221118,3,11/18/22,2022
51-221121,3,11/21/22,2022
51-221123,3,11/23/22,2022
51-221125,3,11/25/22,2022
51-221128,3,11/28/22,2022
51-221130,3,11/30/22,2022
51-221202,3,12/2/22,2022
51-221205,3,12/5/22,2022
51-221207,3,12/7/22,2022
51-221209,3,12/9/22,2022
51-221212,3,12/12/22,2022
51-221214,3,12/14/22,2022
51-221216,3,12/16/22,2022
51-221218,3,12/18/22,2022
51-221221,3,12/21/22,2022
51-221223,3,12/23/22,2022
51-221225,3,12/25/22,2022
51-221228,3,12/28/22,2022
51-221229,3,12/29/22,2022
51-230102,3,1/2/23,2023
51-230104,3,1/4/23,2023
51-230105,3,1/5/23,2023
51-230108,3,1/8/23,2023
51-230111,3,1/11/23,2023
51-230112,3,1/12/23,2023
51-230116,3,1/16/23,2023
51-230118,3,1/18/23,2023
51-230120,3,1/20/23,2023
51-230123,3,1/23/23,2023
51-230125,3,1/25/23,2023
51-230127,3,1/27/23,2023
51-230130,3,1/30/23,2023
51-230201,3,2/1/23,2023
51-230203,3,2/3/23,2023
51-230205,3,2/5/23,2023
51-230208,3,2/8/23,2023
51-230209,3,2/9/23,2023
51-230213,3,2/13/23,2023
51-230215,3,2/15/23,2023
51-230217,3,2/17/23,2023
51-230220,3,2/20/23,2023
51-230222,3,2/22/23,2023
51-230223,3,2/23/23,2023
51-230227,3,2/27/23,2023
51-230301,3,3/1/23,2023
51-230302,3,3/2/23,2023
51-230305,3,3/5/23,2023
51-230308,3,3/8/23,2023
51-230310,3,3/10/23,2023
51-230313,3,3/13/23,2023
51-230315,3,3/15/23,2023
51-230317,3,3/17/23,2023
51-230320,3,3/20/23,2023
51-230322,3,3/22/23,2023
51-230323,3,3/23/23,2023
51-230327,3,3/27/23,2023
51-230329,3,3/29/23,2023
51-230331,3,3/31/23,2023
51-230402,3,4/2/23,2023
51-230405,3,4/5/23,2023
51-230406,3,4/6/23,2023
51-230410,3,4/10/23,2023
51-230412,3,4/12/23,2023
51-230414,3,4/14/23,2023
51-230416,3,4/16/23,2023
51-230419,3,4/19/23,2023
51-230421,3,4/21/23,2023
51-230424,3,4/24/23,2023
51-230426,3,4/26/23,2023
51-230428,3,4/28/23,2023
51-230501,3,5/1/23,2023
51-230512,3,5/12/23,2023
51-230515,3,5/15/23,2023
51-230517,3,5/17/23,2023
51-230519,3,5/19/23,2023
51-230522,3,5/22/23,2023
51-230523,3,5/23/23,2023
51-230526,3,5/26/23,2023
51-230528,3,5/28/23,2023
51-230531,3,5/31/23,2023
51-230602,3,6/2/23,2023
51-230605,3,6/5/23,2023
51-230607,3,6/7/23,2023
51-230609,3,6/9/23,2023
51-230611,3,6/11/23,2023
51-230614,3,6/14/23,2023
51-230616,3,6/16/23,2023
51-230619,3,6/19/23,2023
51-230621,3,6/21/23,2023
51-230623,3,6/23/23,2023
51-230626,3,6/26/23,2023
51-230628,3,6/28/23,2023
51-230630,3,6/30/23,2023
51-230703,3,7/3/23,2023
51-230705,3,7/5/23,2023
51-230707,3,7/7/23,2023
51-230710,3,7/10/23,2023
51-230712,3,7/12/23,2023
51-230714,3,7/14/23,2023
51-230717,3,7/17/23,2023
51-230719,3,7/19/23,2023
51-230721,3,7/21/23,2023
51-230724,3,7/24/23,2023
51-230725,3,7/25/23,2023
51-230728,3,7/28/23,2023
51-230731,3,7/31/23,2023
51-230802,3,8/2/23,2023
51-230804,3,8/4/23,2023
51-230807,3,8/7/23,2023
51-230809,3,8/9/23,2023
51-230811,3,8/11/23,2023
51-230814,3,8/14/23,2023
51-230815,3,8/15/23,2023
51-230818,3,8/18/23,2023
51-230821,3,8/21/23,2023
51-230823,3,8/23/23,2023
51-230825,3,8/25/23,2023
51-230828,3,8/28/23,2023
51-230830,3,8/30/23,2023
51-230901,3,9/1/23,2023
51-230904,3,9/4/23,2023
51-230906,3,9/6/23,2023
51-230908,3,9/8/23,2023
51-230911,3,9/11/23,2023
51-230913,3,9/13/23,2023
51-230914,3,9/14/23,2023
51-230918,3,9/18/23,2023
51-230920,3,9/20/23,2023
51-230922,3,9/22/23,2023
51-230925,3,9/25/23,2023
51-230927,3,9/27/23,2023
51-230929,3,9/29/23,2023
51-231002,3,10/2/23,2023
51-231004,3,10/4/23,2023
51-231006,3,10/6/23,2023
51-231009,3,10/9/23,2023
51-231011,3,10/11/23,2023
51-231013,3,10/13/23,2023
51-231016,3,10/16/23,2023
51-231018,3,10/18/23,2023
51-231020,3,10/20/23,2023
51-231023,3,10/23/23,2023
51-231025,3,10/25/23,2023
51-231027,3,10/27/23,2023
51-231030,3,10/30/23,2023
51-231101,3,11/1/23,2023
51-231102,3,11/2/23,2023
51-231106,3,11/6/23,2023
51-231108,3,11/8/23,2023
51-231110,3,11/10/23,2023
51-231112,3,11/12/23,2023
51-231115,3,11/15/23,2023
51-231117,3,11/17/23,2023
51-231120,3,11/20/23,2023
51-231122,3,11/22/23,2023
51-231124,3,11/24/23,2023
51-231127,3,11/27/23,2023
51-231129,3,11/29/23,2023
51-231201,3,12/1/23,2023
51-231204,3,12/4/23,2023
51-231205,3,12/5/23,2023
51-231208,3,12/8/23,2023
51-231210,3,12/10/23,2023
51-231213,3,12/13/23,2023
51-231215,3,12/15/23,2023
51-231218,3,12/18/23,2023
51-231220,3,12/20/23,2023
51-231222,3,12/22/23,2023
51-231224,3,12/24/23,2023
51-231227,3,12/27/23,2023
51-231229,3,12/29/23,2023
51-240101,3,1/1/24,2024
51-240103,3,1/3/24,2024
51-240105,3,1/5/24,2024
51-240108,3,1/8/24,2024
51-240110,3,1/10/24,2024
51-240112,3,1/12/24,2024
51-240115,3,1/15/24,2024
51-240117,3,1/17/24,2024
51-240119,3,1/19/24,2024
51-240122,3,1/22/24,2024
51-240124,3,1/24/24,2024
51-240126,3,1/26/24,2024
51-240129,3,1/29/24,2024
51-240131,3,1/31/24,2024
51-240202,3,2/2/24,2024
51-240205,3,2/5/24,2024
51-240207,3,2/7/24,2024
51-240209,3,2/9/24,2024
51-240212,3,2/12/24,2024
51-240214,3,2/14/24,2024
51-240216,3,2/16/24,2024
51-240219,3,2/19/24,2024
51-240221,3,2/21/24,2024
196-230301,4,3/1/23,2023
196-230303,4,3/3/23,2023
196-230306,4,3/6/23,2023
196-230308,4,3/8/23,2023
196-230310,4,3/10/23,2023
196-230313,4,3/13/23,2023
196-230315,4,3/15/23,2023
196-230317,4,3/17/23,2023
196-230320,4,3/20/23,2023
196-230322,4,3/22/23,2023
196-230324,4,3/24/23,2023
196-230327,4,3/27/23,2023
196-230329,4,3/29/23,2023
196-230331,4,3/31/23,2023
196-230403,4,4/3/23,2023
196-230405,4,4/5/23,2023
196-230407,4,4/7/23,2023
196-230410,4,4/10/23,2023
196-230412,4,4/12/23,2023
196-230414,4,4/14/23,2023
196-230417,4,4/17/23,2023
196-230419,4,4/19/23,2023
196-230421,4,4/21/23,2023
196-230424,4,4/24/23,2023
196-230426,4,4/26/23,2023
196-230428,4,4/28/23,2023
196-230501,4,5/1/23,2023
196-230503,4,5/3/23,2023
196-230505,4,5/5/23,2023
196-230508,4,5/8/23,2023
196-230510,4,5/10/23,2023
196-230512,4,5/12/23,2023
196-230515,4,5/15/23,2023
196-230517,4,5/17/23,2023
196-230519,4,5/19/23,2023
196-230522,4,5/22/23,2023
196-230524,4,5/24/23,2023
196-230526,4,5/26/23,2023
196-230530,4,5/30/23,2023
196-230531,4,5/31/23,2023
196-230602,4,6/2/23,2023
196-230605,4,6/5/23,2023
196-230607,4,6/7/23,2023
196-230609,4,6/9/23,2023
196-230612,4,6/12/23,2023
196-230614,4,6/14/23,2023
196-230616,4,6/16/23,2023
196-230620,4,6/20/23,2023
196-230621,4,6/21/23,2023
196-230623,4,6/23/23,2023
196-230626,4,6/26/23,2023
196-230628,4,6/28/23,2023
196-230630,4,6/30/23,2023
196-230703,4,7/3/23,2023
196-230705,4,7/5/23,2023
196-230707,4,7/7/23,2023
196-230710,4,7/10/23,2023
196-230712,4,7/12/23,2023
196-230714,4,7/14/23,2023
196-230717,4,7/17/23,2023
196-230719,4,7/19/23,2023
196-230721,4,7/21/23,2023
196-230724,4,7/24/23,2023
196-230726,4,7/26/23,2023
196-230728,4,7/28/23,2023
196-230731,4,7/31/23,2023
196-230802,4,8/2/23,2023
196-230804,4,8/4/23,2023
196-230807,4,8/7/23,2023
196-230809,4,8/9/23,2023
196-230811,4,8/11/23,2023
196-230814,4,8/14/23,2023
196-230816,4,8/16/23,2023
196-230818,4,8/18/23,2023
196-230821,4,8/21/23,2023
196-230824,4,8/24/23,2023
196-230825,4,8/25/23,2023
196-230828,4,8/28/23,2023
196-230830,4,8/30/23,2023
196-230901,4,9/1/23,2023
196-230905,4,9/5/23,2023
196-230906,4,9/6/23,2023
196-230908,4,9/8/23,2023
196-230911,4,9/11/23,2023
196-230913,4,9/13/23,2023
196-230915,4,9/15/23,2023
196-230918,4,9/18/23,2023
196-230920,4,9/20/23,2023
196-230922,4,9/22/23,2023
196-230925,4,9/25/23,2023
196-230927,4,9/27/23,2023
196-230929,4,9/29/23,2023
196-231002,4,10/2/23,2023
196-231004,4,10/4/23,2023
196-231006,4,10/6/23,2023
196-231010,4,10/10/23,2023
196-231011,4,10/11/23,2023
196-231013,4,10/13/23,2023
196-231016,4,10/16/23,2023
196-231018,4,10/18/23,2023
196-231020,4,10/20/23,2023
196-231023,4,10/23/23,2023
196-231025,4,10/25/23,2023
196-231027,4,10/27/23,2023
196-231030,4,10/30/23,2023
196-231101,4,11/1/23,2023
196-231103,4,11/3/23,2023
196-231106,4,11/6/23,2023
196-231108,4,11/8/23,2023
196-231109,4,11/9/23,2023
196-231113,4,11/13/23,2023
196-231115,4,11/15/23,2023
196-231117,4,11/17/23,2023
196-231120,4,11/20/23,2023
196-231122,4,11/22/23,2023
196-231124,4,11/24/23,2023
196-231127,4,11/27/23,2023
196-231129,4,11/29/23,2023
196-231201,4,12/1/23,2023
196-231204,4,12/4/23,2023
196-231206,4,12/6/23,2023
196-231208,4,12/8/23,2023
196-231211,4,12/11/23,2023
196-231213,4,12/13/23,2023
196-231215,4,12/15/23,2023
196-231218,4,12/18/23,2023
196-231220,4,12/20/23,2023
196-231222,4,12/22/23,2023
196-231226,4,12/26/23,2023
196-231227,4,12/27/23,2023
196-231229,4,12/29/23,2023
196-240102,4,1/2/24,2024
196-240103,4,1/3/24,2024
196-240105,4,1/5/24,2024
196-240108,4,1/8/24,2024
196-240110,4,1/10/24,2024
196-240112,4,1/12/24,2024
196-240115,4,1/15/24,2024
196-240117,4,1/17/24,2024
196-240122,4,1/22/24,2024
196-240124,4,1/24/24,2024
196-240126,4,1/26/24,2024
196-240129,4,1/29/24,2024
196-240131,4,1/31/24,2024
196-240202,4,2/2/24,2024
196-240205,4,2/5/24,2024
196-240207,4,2/7/24,2024
196-240209,4,2/9/24,2024
196-240212,4,2/12/24,2024
