site_id,site_name,city,state_abbr,sewershed_pop
152,Hamlin Water Reclamation Facility,Winter Garden,FL,50000
153,Southwest Water Reclamation Facility,Saint Petersburg,FL,47790
154,"St. Cloud Nutrient, Energy and Water Recovery Facility",Saint Cloud,MN,120000
155,"City of Stamford, Water Pollution Control Authority",Stamford,CT,140000
156,City of Sunnyvale Water Pollution Control Plant,Sunnyvale,CA,153000
157,Duck Creek Wastewater Treatment Plant,Sunnyvale,TX,186000
158,TPSmith Water Reclamation Facility,Tallahassee,FL,212065
159,Theresa Street Water Resource Recovery Facility,Lincoln,NE,240000
160,Traverse City Regional Waste Water Treatment Plant,Traverse City,MI,30623
161,Turlock Regional Water Quality Control Facility,Turlock,CA,86000
162,Bayshore Regional Sewerage Authority,Keyport,NJ,100000
163,[Union City Basin] - Raymond A. Boege Alvarado WWTP,Union City,CA,68150
164,University Park Water Reclamation Plant,State College,PA,16000
165,UC Davis,Davis,CA,0
166,Utoy Creek Water Reclamation Center,Atlanta,GA,70887
167,Vallejo Flood and Wastewater District Wastewater Treatment Plant,Vallejo,CA,121000
168,Village Creek Water Reclamation Facility,Birmingham,AL,200000
169,Wahiawa Wastewater Treatment Plant,Honolulu,HI,18000
170,Waianae Wastewater Treatment Plant,Honolulu,HI,44000
171,City of Warren Wastewater Treatment Plant,Warren,MI,140000
172,Wausau Waterworks Wastewater Treatment Facility,Wausau,WI,44000
173,SWBNO West Bank Wastewater Treatment Plant,New Orleans,LA,50591
174,West Boise Water Renewal Facility,Boise,ID,186901
175,West County Wastewater District,Richmond,CA,100000
176,Central Marin Sanitation Agency - West Railroad,San Rafael,CA,25000
177,Wheaton Sanitary District,Wheaton,IL,63000
178,"City of Wheeling, Water Pollution Control Division",Wheeling,WV,100000
179,DCWT White Rock,Dallas,TX,630000
180,Wichita Falls Resource Recovery Facility,Wichita Falls,TX,90000
181,City of Wilson - Hominy Creek Water Reclamation Facility,Wilson,NC,50000
182,"Windsor Wastewater Treatment, Reclamation, and Disposal Facility",Windsor,CA,28000
183,Archie Elledge WWTP,Winston Salem,NC,92000
184,Winters - East Street Pump Station,Winters,CA,7286
185,Wolcott Wastewater Treatment Facility,Kansas City,KS,15000
186,Woodland Water Pollution Control Facility,Woodland,CA,59000
187,SJRA WWTF No.1,Spring,TX,65000
188,SJRA WWTF No.2,Spring,TX,70000
189,SJRA WWTF No.3,Spring,TX,15000
190,City of Yankton Wastewater Treatment Facility,Yankton,SD,20000
191,York Sewer District,York,ME,10000
192,City of Youngstown Wastewater Treatment Plant,Youngstown,OH,174000
193,Zacate Creek WWTP,Laredo,TX,140000
